,City,Latitude,Longitude,Temperature,Max Temperature,Humidity,Cloudiness,Wind Speed
99,demba,22.27,-5.51,79.2,79.2,37,28,2.39
100,itupiranga,-49.33,-5.13,96.8,96.8,37,40,5.82
101,tamboril,-70.61,19.49,84.6,86.0,83,75,19.46
102,talara,-81.27,-4.58,75.2,75.2,50,0,14.99
103,novo aripuana,-60.38,-5.12,97.05,97.05,34,63,3.69
104,kongolo,27.0,-5.38,84.6,84.6,25,0,0.87
105,tabora,32.8,-5.02,74.89,74.89,31,62,1.92
106,crateus,-40.68,-5.18,96.78,96.78,22,18,8.19
107,micheweni,39.83,-4.97,76.01,76.01,79,1,12.91
108,hithadhoo,73.08,-0.6,82.78,82.78,76,34,15.77
109,cabedelo,-34.83,-6.98,82.4,82.4,61,40,18.34
110,castelo do piaui,-41.55,-5.32,99.88,99.88,20,4,6.22
111,sitio novo do tocantins,-47.46,-5.52,102.13,102.13,18,40,5.48
112,kaliua,31.79,-5.06,75.58,75.58,32,39,2.77
113,caxias,-9.28,38.7,82.11,84.2,28,0,21.92
114,saquena,-73.52,-4.67,92.53,92.53,44,36,2.1
115,carauari,-66.9,-4.88,93.18,93.18,46,66,3.0
116,natal,-35.21,-5.79,80.6,80.6,74,75,19.46
117,meulaboh,96.13,4.14,78.66,78.66,85,90,3.71
118,mayumba,10.66,-3.43,74.98,74.98,85,98,10.54
119,lusambo,23.45,-4.97,79.16,79.16,37,3,1.21
120,itaituba,-55.98,-4.28,103.87,103.87,18,53,4.5
121,canutama,-64.38,-6.53,100.47,100.47,24,18,2.91
122,kigoma,29.63,-4.88,74.73,74.73,62,0,3.31
123,barranca,-77.77,-10.75,64.71,64.71,68,62,11.88
124,luebo,21.42,-5.35,81.72,81.72,36,7,2.21
125,kikwit,18.82,-5.04,86.45,86.45,36,96,1.28
126,teresina,-42.8,-5.09,93.2,93.2,34,40,5.82
127,loandjili,11.86,-4.76,75.2,75.2,83,75,6.93
128,esperantinopolis,-44.71,-4.87,97.99,97.99,24,29,3.4
129,gamba,10.0,-2.65,75.4,75.4,84,56,11.45
130,manicore,-61.3,-5.81,102.25,102.25,26,21,4.99
131,macau,113.55,22.2,84.2,84.2,89,20,8.05
132,kondoa,35.78,-4.9,68.23,68.23,50,91,3.74
133,morada nova,-38.37,-5.11,98.04,98.04,25,62,7.47
134,ilebo,20.58,-4.32,81.03,81.03,43,23,0.51
135,jutai,-68.9,-5.18,92.01,92.01,48,79,2.64
136,tshela,12.93,-4.98,74.91,74.91,76,91,3.22
137,sao felix do xingu,-51.99,-6.64,103.41,103.41,12,94,4.36
138,jacareacanga,-57.75,-6.22,93.81,93.81,36,82,3.4
139,ndago,34.35,-4.6,74.55,74.55,35,89,8.39
140,paita,-81.11,-5.09,75.2,75.2,50,0,14.99
141,chanika,38.02,-5.42,66.15,66.15,87,56,6.04
142,sao miguel,-35.37,-5.47,80.6,80.6,74,75,19.46
143,benjamin constant,-70.03,-4.38,86.81,89.6,79,40,5.82
144,tabou,-7.35,4.42,76.6,76.6,85,75,11.32
145,lamu,40.9,-2.27,76.01,76.01,78,48,16.04
146,lubao,120.55,14.92,82.4,82.4,83,75,2.24
147,mbanza-ngungu,14.87,-5.25,78.37,78.37,62,89,8.55
148,barauna,-37.62,-5.08,100.4,100.4,31,75,10.29
149,kasangulu,15.17,-4.59,79.7,80.6,65,20,6.93
150,areia branca,-37.14,-4.96,100.4,100.4,31,75,10.29
151,nisia floresta,-35.21,-6.09,80.6,80.6,78,75,17.22
152,port-gentil,8.78,-0.72,77.0,77.0,83,75,18.14
153,huancabamba,-79.45,-5.24,72.05,72.05,43,52,5.3
154,tambo grande,-80.34,-4.93,89.06,89.06,28,0,10.36
155,morropon,-79.97,-5.18,89.04,89.04,27,1,7.78
156,lagunas,-75.68,-5.23,98.64,98.64,33,18,3.06
